Date,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,FTHG,FTAG,FTR
13/08/11,Blackburn,Wolves,16,13,8,4,12,6,14,10,4,2,0,0,2.2,3.2,3.5,1,2,A
13/08/11,Fulham,Aston Villa,13,7,9,1,2,3,10,18,2,4,0,0,2.2,3.2,3.5,0,0,D
13/08/11,Liverpool,Sunderland,11,15,4,6,6,3,17,12,4,4,0,0,1.57,3.6,7.0,1,1,D
13/08/11,Newcastle,Arsenal,6,9,1,4,2,5,9,11,3,5,0,1,3.75,3.25,2.1,0,0,D
13/08/11,QPR,Bolton,13,13,7,7,3,2,9,16,1,2,1,0,2.4,3.25,3.0,0,4,A
13/08/11,Wigan,Norwich,18,13,11,3,7,3,11,8,2,2,0,0,2.2,3.2,3.5,1,1,D
14/08/11,Stoke,Chelsea,6,20,3,11,4,6,12,12,2,2,0,0,5.5,3.5,1.7,0,0,D
14/08/11,West Brom,Man United,14,11,8,5,6,5,16,9,3,2,0,0,6.5,4.0,1.53,1,2,A
15/08/11,Man City,Swansea,26,8,19,5,7,4,9,2,0,0,0,0,1.29,5.0,13.0,4,0,H
20/08/11,Arsenal,Liverpool,10,13,6,8,9,5,11,6,2,2,1,0,2.5,3.25,2.9,0,2,A
20/08/11,Aston Villa,Blackburn,9,10,6,6,5,4,9,13,3,0,0,0,1.73,3.4,5.5,3,1,H
20/08/11,Chelsea,West Brom,22,6,12,4,7,4,12,8,2,4,0,0,1.3,5.5,10.0,2,1,H
20/08/11,Everton,QPR,14,4,7,3,2,1,12,9,1,1,0,0,1.53,3.8,7.0,0,1,A
20/08/11,Sunderland,Newcastle,15,12,5,10,7,6,17,7,3,3,1,0,2.2,3.25,3.4,0,1,A
20/08/11,Swansea,Wigan,12,10,6,4,7,7,8,18,0,3,0,0,2.1,3.3,3.6,0,0,D
21/08/11,Bolton,Man City,6,17,4,9,7,8,19,14,2,0,0,0,4.75,3.5,1.8,2,3,A
21/08/11,Norwich,Stoke,9,15,7,5,3,6,13,12,0,2,1,0,2.6,3.3,2.75,1,1,D
21/08/11,Wolves,Fulham,17,8,7,4,7,8,7,10,2,2,0,0,2.38,3.25,3.1,2,0,H
22/08/11,Man United,Tottenham,27,20,21,12,11,3,12,9,1,2,0,0,1.67,3.75,5.5,3,0,H
27/08/11,Aston Villa,Wolves,15,3,5,2,11,8,10,9,1,3,0,0,2.1,3.25,3.75,0,0,D
27/08/11,Blackburn,Everton,14,9,6,4,5,4,17,13,5,2,0,0,3.3,3.25,2.25,0,1,A
27/08/11,Chelsea,Norwich,16,9,8,6,8,6,17,14,2,2,0,1,1.2,6.5,15.0,3,1,H
27/08/11,Liverpool,Bolton,17,7,9,4,12,6,5,7,0,2,0,0,1.4,4.5,8.5,3,1,H
27/08/11,Swansea,Sunderland,15,12,6,8,7,4,7,10,1,1,0,0,2.38,3.3,3.0,0,0,D
27/08/11,Wigan,QPR,13,19,10,9,8,7,13,8,2,0,0,0,2.25,3.3,3.25,2,0,H
28/08/11,Man United,Arsenal,25,19,15,13,3,5,9,7,2,3,0,1,1.5,4.33,6.5,8,2,H
28/08/11,Newcastle,Fulham,13,16,9,9,6,6,19,8,2,1,0,0,2.1,3.25,3.75,2,1,H
28/08/11,Tottenham,Man City,15,22,10,12,10,5,11,9,2,4,0,0,2.88,3.3,2.5,1,5,A
28/08/11,West Brom,Stoke,16,7,7,1,5,1,9,12,0,0,0,0,2.1,3.25,3.75,0,1,A
10/09/11,Arsenal,Swansea,18,10,8,5,4,5,10,7,3,2,0,0,1.36,4.75,9.0,1,0,H
10/09/11,Bolton,Man United,20,13,13,9,5,7,14,1,2,0,0,0,9.0,4.5,1.4,0,5,A
10/09/11,Everton,Aston Villa,17,7,10,3,8,0,13,11,1,1,0,0,2.0,3.4,3.8,2,2,D
10/09/11,Man City,Wigan,23,9,10,5,8,3,6,9,0,0,0,0,1.17,7.0,17.0,3,0,H
10/09/11,Stoke,Liverpool,3,20,1,11,2,12,12,13,0,1,0,0,3.25,3.3,2.25,1,0,H
10/09/11,Sunderland,Chelsea,14,16,7,8,4,7,7,3,1,1,0,0,5.0,3.75,1.7,1,2,A
10/09/11,Wolves,Tottenham,10,17,6,11,4,10,5,12,3,2,0,0,3.0,3.25,2.4,0,2,A
11/09/11,Fulham,Blackburn,13,10,8,5,11,2,7,12,3,1,0,0,1.67,3.6,5.5,1,1,D
11/09/11,Norwich,West Brom,17,14,5,9,1,3,10,11,1,2,0,0,2.5,3.25,2.88,0,1,A
12/09/11,QPR,Newcastle,14,8,5,3,6,4,10,15,1,3,0,0,2.4,3.25,3.0,0,0,D
17/09/11,Aston Villa,Newcastle,10,21,2,13,4,9,13,10,1,1,0,0,1.91,3.4,4.2,1,1,D
17/09/11,Blackburn,Arsenal,10,24,5,16,2,13,14,9,2,1,0,0,4.2,3.4,1.91,4,3,H
17/09/11,Bolton,Norwich,7,11,7,5,6,9,8,8,3,1,1,0,1.8,3.6,4.6,1,2,A
17/09/11,Everton,Wigan,17,9,10,4,4,9,14,8,2,1,0,0,1.5,4.0,7.0,3,1,H
17/09/11,Swansea,West Brom,7,13,5,8,2,8,4,9,1,2,0,0,2.63,3.2,2.75,3,0,H
17/09/11,Wolves,QPR,13,17,6,12,4,8,15,13,2,3,0,0,1.91,3.4,4.2,0,3,A
18/09/11,Fulham,Man City,14,18,11,11,6,9,10,9,1,1,0,0,6.5,3.8,1.57,2,2,D
18/09/11,Man United,Chelsea,12,20,7,9,4,10,11,12,2,3,0,0,1.83,3.5,4.5,3,1,H
18/09/11,Sunderland,Stoke,8,9,7,5,6,5,15,12,1,2,0,0,2.4,3.2,3.1,4,0,H
18/09/11,Tottenham,Liverpool,24,5,16,2,4,1,10,9,1,4,0,2,2.63,3.4,2.63,4,0,H
24/09/11,Arsenal,Bolton,23,3,14,3,9,2,7,9,0,1,0,1,1.44,4.5,7.0,3,0,H
24/09/11,Chelsea,Swansea,15,5,7,4,1,6,15,11,3,3,1,0,1.2,6.5,15.0,4,1,H
24/09/11,Liverpool,Wolves,14,11,6,6,7,2,15,6,3,4,0,0,1.36,4.5,10.0,2,1,H
24/09/11,Man City,Everton,18,7,8,3,7,5,9,13,1,5,0,0,1.44,4.33,7.5,2,0,H
24/09/11,Newcastle,Blackburn,19,4,8,1,4,2,6,16,0,4,0,1,1.83,3.5,4.5,3,1,H
24/09/11,Stoke,Man United,14,13,8,9,8,8,10,3,1,0,0,0,6.5,4.0,1.53,1,1,D
24/09/11,West Brom,Fulham,8,18,5,9,1,1,6,14,0,3,0,0,2.3,3.25,3.25,0,0,D
24/09/11,Wigan,Tottenham,5,14,4,7,1,9,13,6,3,1,1,0,4.0,3.5,1.91,1,2,A
25/09/11,QPR,Aston Villa,17,8,9,4,11,8,14,19,1,6,1,0,2.3,3.25,3.2,1,1,D
26/09/11,Norwich,Sunderland,11,12,8,6,7,4,3,7,2,1,0,0,2.5,3.4,2.8,2,1,H
01/10/11,Aston Villa,Wigan,16,14,10,9,5,10,12,6,0,1,0,0,1.62,3.75,6.0,2,0,H
01/10/11,Blackburn,Man City,5,19,4,12,4,5,9,14,1,1,0,0,6.5,3.75,1.57,0,4,A
01/10/11,Everton,Liverpool,12,15,4,9,5,9,15,9,1,1,1,0,3.1,3.2,2.4,0,2,A
01/10/11,Man United,Norwich,17,13,9,6,10,3,9,6,1,0,0,0,1.17,7.0,17.0,2,0,H
01/10/11,Sunderland,West Brom,12,7,7,3,7,4,9,13,2,0,0,0,2.25,3.4,3.2,2,2,D
01/10/11,Wolves,Newcastle,25,10,12,6,10,5,7,10,1,2,0,0,2.5,3.25,2.88,1,2,A
02/10/11,Bolton,Chelsea,14,21,10,14,4,5,10,11,1,2,0,0,6.5,4.0,1.53,1,5,A
02/10/11,Fulham,QPR,19,17,13,10,4,4,10,7,2,3,0,0,2.0,3.3,4.0,6,0,H
02/10/11,Swansea,Stoke,9,11,5,6,6,5,14,18,3,5,0,0,2.63,3.25,2.75,2,0,H
02/10/11,Tottenham,Arsenal,16,13,8,7,9,7,11,8,2,1,0,0,2.1,3.4,3.5,2,1,H
15/10/11,Chelsea,Everton,7,9,5,5,2,2,13,11,2,2,0,0,1.36,4.5,10.0,3,1,H
15/10/11,Liverpool,Man United,14,10,8,3,8,3,8,11,1,3,0,0,3.0,3.3,2.4,1,1,D
15/10/11,Man City,Aston Villa,15,8,10,6,5,1,10,6,1,1,0,0,1.33,5.0,10.0,4,1,H
15/10/11,Norwich,Swansea,15,12,8,4,4,4,6,5,0,1,0,0,2.2,3.3,3.4,3,1,H
15/10/11,QPR,Blackburn,12,10,6,9,5,7,10,13,3,2,0,0,1.83,3.5,4.5,1,1,D
15/10/11,Stoke,Fulham,14,4,6,1,5,2,14,15,4,4,0,0,2.2,3.2,3.5,2,0,H
15/10/11,Wigan,Bolton,13,14,9,11,5,4,16,14,4,4,0,0,2.3,3.3,3.2,1,3,A
16/10/11,Arsenal,Sunderland,20,8,11,4,9,2,9,19,3,3,0,0,1.44,4.33,7.5,2,1,H
16/10/11,Newcastle,Tottenham,12,11,7,8,5,2,11,15,1,2,0,0,3.0,3.3,2.4,2,2,D
16/10/11,West Brom,Wolves,17,13,11,10,2,11,14,12,0,1,0,0,2.0,3.3,4.0,2,0,H
22/10/11,Aston Villa,West Brom,3,8,0,5,3,8,11,8,2,3,1,0,2.0,3.3,4.0,1,2,A
22/10/11,Bolton,Sunderland,15,18,8,10,2,11,15,14,0,3,0,0,2.2,3.2,3.5,0,2,A
22/10/11,Liverpool,Norwich,25,12,15,10,10,3,6,8,0,1,0,0,1.29,5.5,11.0,1,1,D
22/10/11,Newcastle,Wigan,13,12,10,5,7,3,7,22,3,2,0,0,1.57,3.8,6.5,1,0,H
22/10/11,Wolves,Swansea,20,16,13,14,8,13,14,11,2,0,0,0,2.0,3.4,3.8,2,2,D
23/10/11,Arsenal,Stoke,9,5,5,2,10,1,9,13,0,2,0,0,1.53,4.0,6.5,3,1,H
23/10/11,Blackburn,Tottenham,19,9,8,7,8,5,19,7,4,1,0,0,4.0,3.5,1.91,1,2,A
23/10/11,Fulham,Everton,15,11,8,7,5,1,12,8,3,1,0,0,2.25,3.25,3.3,1,3,A
23/10/11,Man United,Man City,12,19,8,12,7,4,15,11,4,4,1,0,2.0,3.4,3.8,1,6,A
23/10/11,QPR,Chelsea,8,14,3,7,0,6,17,17,2,7,0,2,9.5,5.0,1.33,1,0,H
29/10/11,Chelsea,Arsenal,12,13,10,8,3,2,7,18,2,3,0,0,1.62,4.0,5.5,3,5,A
29/10/11,Everton,Man United,18,7,11,6,4,1,12,8,3,0,0,0,4.5,3.6,1.8,0,1,A
29/10/11,Man City,Wolves,18,9,9,2,5,4,17,5,2,1,1,0,1.17,7.0,19.0,3,1,H
29/10/11,Norwich,Blackburn,13,12,6,7,6,2,9,10,2,1,0,0,1.91,3.6,4.0,3,3,D
29/10/11,Sunderland,Aston Villa,13,10,8,5,5,6,7,13,1,3,0,0,2.1,3.3,3.6,2,2,D
29/10/11,Swansea,Bolton,20,8,12,3,10,2,9,14,3,4,0,1,2.1,3.3,3.6,3,1,H
29/10/11,West Brom,Liverpool,10,17,6,7,3,10,12,9,1,0,0,0,4.0,3.3,2.0,0,2,A
29/10/11,Wigan,Fulham,18,7,9,5,9,0,17,14,2,5,0,0,2.88,3.25,2.5,0,2,A
30/10/11,Tottenham,QPR,22,12,13,8,4,8,12,14,0,0,0,0,1.36,4.75,9.0,3,1,H
31/10/11,Stoke,Newcastle,10,6,4,2,8,2,8,14,0,1,0,0,2.1,3.2,3.8,1,3,A
05/11/11,Arsenal,West Brom,12,9,7,4,4,1,12,12,0,0,0,0,1.4,4.5,8.5,3,0,H
05/11/11,Aston Villa,Norwich,12,9,6,7,6,6,11,9,1,5,0,0,1.83,3.5,4.5,3,2,H
05/11/11,Blackburn,Chelsea,13,12,8,8,5,8,12,10,4,2,0,0,7.5,4.33,1.44,0,1,A
05/11/11,Liverpool,Swansea,18,9,10,3,11,4,13,5,2,1,0,0,1.29,5.5,10.0,0,0,D
05/11/11,Man United,Sunderland,15,9,9,3,6,2,6,14,0,2,0,0,1.25,5.5,13.0,1,0,H
05/11/11,Newcastle,Everton,10,14,6,6,5,3,12,15,2,3,0,0,2.25,3.25,3.3,2,1,H
05/11/11,QPR,Man City,18,16,9,8,3,1,5,14,1,1,0,0,10.0,5.0,1.33,2,3,A
06/11/11,Bolton,Stoke,20,9,16,6,12,4,10,9,0,1,0,0,2.4,3.3,3.0,5,0,H
06/11/11,Fulham,Tottenham,26,8,20,8,11,1,5,9,0,1,0,0,3.25,3.3,2.25,1,3,A
06/11/11,Wolves,Wigan,13,13,12,7,5,6,11,13,2,1,0,0,1.91,3.3,4.33,3,1,H
19/11/11,Everton,Wolves,13,4,9,1,9,1,14,13,1,2,0,0,1.57,3.75,6.5,2,1,H
19/11/11,Man City,Newcastle,12,10,9,7,4,5,10,7,0,0,0,0,1.3,5.5,10.0,3,1,H
19/11/11,Norwich,Arsenal,7,20,4,14,1,6,11,9,3,0,0,0,5.5,3.6,1.67,1,2,A
19/11/11,Stoke,QPR,17,9,7,8,9,5,17,10,4,2,0,0,1.83,3.5,4.5,2,3,A
19/11/11,Sunderland,Fulham,13,13,8,9,6,7,8,12,1,1,0,0,2.3,3.25,3.2,0,0,D
19/11/11,Swansea,Man United,9,13,6,7,6,2,6,9,0,1,0,0,6.5,4.2,1.5,0,1,A
19/11/11,West Brom,Bolton,16,8,9,6,7,5,12,12,1,0,0,0,2.0,3.4,3.8,2,1,H
19/11/11,Wigan,Blackburn,21,6,11,2,7,3,14,13,2,3,0,1,2.5,3.25,2.88,3,3,D
