Date,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,FTHG,FTAG,FTR
12/09/2020,Fulham,Arsenal,5,13,2,6,2,3,12,12,2,2,0,0,6.0,4.33,1.53,0,3,A
12/09/2020,Crystal Palace,Southampton,5,9,3,5,7,3,14,11,2,1,0,0,3.1,3.25,2.37,1,0,H
12/09/2020,Liverpool,Leeds,22,6,6,3,9,0,9,6,1,0,0,0,1.28,6.0,9.5,4,3,H
12/09/2020,West Ham,Newcastle,15,15,3,2,8,7,13,7,2,2,0,0,2.15,3.4,3.4,0,2,A
13/09/2020,West Brom,Leicester,7,13,1,7,2,5,12,9,1,1,0,0,3.8,3.6,1.95,0,3,A
13/09/2020,Tottenham,Everton,9,15,5,4,5,3,15,7,1,0,0,0,1.83,3.6,4.33,0,1,A
14/09/2020,Brighton,Chelsea,13,10,3,5,4,3,8,13,1,0,0,0,5.0,4.33,1.61,1,3,A
14/09/2020,Sheffield United,Wolves,9,11,2,4,12,5,13,7,2,1,0,0,3.25,3.1,2.37,0,2,A
19/09/2020,Everton,West Brom,17,6,7,4,11,1,9,11,1,0,0,1,1.5,4.2,6.5,5,2,H
19/09/2020,Leeds,Fulham,10,14,7,6,5,3,13,18,1,2,0,0,1.61,3.9,5.75,4,3,H
19/09/2020,Man United,Crystal Palace,13,14,4,5,9,3,13,10,2,1,0,0,1.3,5.5,9.5,1,3,A
19/09/2020,Arsenal,West Ham,7,14,3,3,7,5,11,13,0,1,0,0,1.53,4.5,5.5,2,1,H
20/09/2020,Southampton,Tottenham,14,9,7,6,3,2,16,18,4,3,0,0,3.0,3.3,2.37,2,5,A
20/09/2020,Newcastle,Brighton,6,13,0,6,7,1,16,15,3,0,0,1,2.6,3.1,2.87,0,3,A
20/09/2020,Chelsea,Liverpool,5,18,3,6,1,11,10,6,0,0,1,0,3.1,3.6,2.2,0,2,A
20/09/2020,Leicester,Burnley,14,16,6,5,15,4,11,13,1,2,0,0,1.61,4.0,5.5,4,2,H
21/09/2020,Aston Villa,Sheffield United,18,4,2,1,10,4,12,13,3,1,0,1,2.7,3.1,2.75,1,0,H
21/09/2020,Wolves,Man City,10,14,1,9,4,6,6,8,0,3,0,0,6.5,4.33,1.5,1,3,A
26/09/2020,Brighton,Man United,18,7,5,3,7,1,18,16,4,2,0,0,4.75,3.75,1.72,2,3,A
26/09/2020,Crystal Palace,Everton,8,10,1,5,7,6,16,15,3,1,0,0,3.75,3.25,2.1,1,2,A
26/09/2020,West Brom,Chelsea,9,22,3,10,3,9,8,16,1,3,0,0,9.0,4.75,1.36,3,3,D
26/09/2020,Burnley,Southampton,10,5,2,1,8,2,8,10,1,0,0,0,3.2,3.3,2.3,0,1,A
27/09/2020,Sheffield United,Leeds,14,17,4,9,5,7,18,4,2,1,0,0,2.7,3.3,2.62,0,1,A
27/09/2020,Tottenham,Newcastle,23,6,12,1,10,4,15,9,1,4,0,0,1.45,4.5,7.0,1,1,D
27/09/2020,Man City,Leicester,16,7,5,7,3,4,13,8,1,3,0,0,1.28,6.0,9.5,2,5,A
27/09/2020,West Ham,Wolves,15,11,7,2,1,3,7,11,0,1,0,0,3.6,3.5,2.05,4,0,H
28/09/2020,Fulham,Aston Villa,16,12,3,5,5,3,18,14,6,3,0,0,2.9,3.25,2.5,0,3,A
28/09/2020,Liverpool,Arsenal,21,4,8,3,7,3,11,7,2,2,0,0,1.45,4.75,6.5,3,1,H
03/10/2020,Chelsea,Crystal Palace,17,4,6,0,8,5,17,13,2,0,0,0,1.4,4.75,8.0,4,0,H
03/10/2020,Everton,Brighton,11,11,6,3,3,10,13,14,0,1,0,0,1.72,3.75,4.8,4,2,H
03/10/2020,Leeds,Man City,12,23,7,2,7,10,11,12,2,1,0,0,7.5,5.25,1.36,1,1,D
03/10/2020,Newcastle,Burnley,10,7,5,3,3,4,13,17,2,3,0,0,2.4,3.2,3.1,3,1,H
04/10/2020,Leicester,West Ham,4,14,0,6,6,4,11,8,2,2,0,0,1.61,4.2,5.25,0,3,A
04/10/2020,Southampton,West Brom,13,5,7,2,5,1,19,10,2,1,0,0,1.72,3.8,4.75,2,0,H
04/10/2020,Arsenal,Sheffield United,6,6,5,2,2,4,3,9,0,1,0,0,1.57,4.0,6.0,2,1,H
04/10/2020,Wolves,Fulham,14,10,5,2,6,2,15,8,1,1,0,0,1.5,4.0,7.5,1,0,H
04/10/2020,Man United,Tottenham,5,22,2,8,2,4,14,10,2,1,1,0,1.85,3.8,4.0,1,6,A
04/10/2020,Aston Villa,Liverpool,18,14,11,8,2,7,7,10,2,1,0,0,10.0,5.5,1.3,7,2,H
17/10/2020,Everton,Liverpool,11,22,5,8,2,5,15,9,3,2,1,0,3.75,4.2,1.83,2,2,D
17/10/2020,Chelsea,Southampton,11,13,5,6,6,2,11,9,1,1,0,0,1.45,4.75,6.5,3,3,D
17/10/2020,Man City,Arsenal,13,11,5,3,6,6,15,10,4,1,0,0,1.44,5.0,6.5,1,0,H
17/10/2020,Newcastle,Man United,7,28,4,14,0,7,9,12,1,1,0,0,4.75,4.0,1.66,1,4,A
18/10/2020,Sheffield United,Fulham,10,15,6,6,2,5,5,9,0,2,0,0,2.1,3.3,3.7,1,1,D
18/10/2020,Crystal Palace,Brighton,1,20,1,3,2,5,13,12,3,2,0,1,2.62,3.3,2.7,1,1,D
18/10/2020,Tottenham,West Ham,11,13,6,4,3,7,13,12,0,5,0,0,1.57,4.33,5.5,3,3,D
18/10/2020,Leicester,Aston Villa,11,10,5,4,2,7,18,18,4,3,0,0,1.83,3.8,4.1,0,1,A
19/10/2020,West Brom,Burnley,13,9,6,4,8,2,15,17,2,2,0,0,2.45,3.3,2.9,0,0,D
19/10/2020,Leeds,Wolves,13,7,2,3,8,3,13,12,2,1,0,0,2.5,3.3,2.87,0,1,A
23/10/2020,Aston Villa,Leeds,12,27,4,9,6,5,14,17,2,2,0,0,2.05,3.75,3.3,0,3,A
24/10/2020,West Ham,Man City,6,14,2,7,2,10,14,6,2,0,0,0,8.0,5.25,1.36,1,1,D
24/10/2020,Fulham,Crystal Palace,16,14,3,10,4,4,11,11,0,1,1,0,2.75,3.1,2.7,1,2,A
24/10/2020,Man United,Chelsea,14,6,4,1,9,6,8,6,3,1,0,0,2.37,3.6,2.8,0,0,D
24/10/2020,Liverpool,Sheffield United,17,13,5,2,7,3,7,15,0,3,0,0,1.22,6.5,12.0,2,1,H
25/10/2020,Southampton,Everton,12,6,6,2,4,5,11,11,1,2,0,1,2.75,3.4,2.55,2,0,H
25/10/2020,Wolves,Newcastle,16,5,3,2,2,3,10,10,0,1,0,0,1.75,3.5,5.25,1,1,D
25/10/2020,Arsenal,Leicester,12,6,4,2,9,3,13,9,3,5,0,0,1.9,3.75,3.8,0,1,A
26/10/2020,Brighton,West Brom,5,9,3,3,6,2,14,7,2,0,0,0,1.7,4.0,4.75,1,1,D
26/10/2020,Burnley,Tottenham,13,9,4,3,4,5,9,7,2,0,0,0,5.75,4.0,1.6,0,1,A
30/10/2020,Wolves,Crystal Palace,15,11,5,2,7,6,13,4,0,2,0,1,2.0,3.2,4.33,2,0,H
31/10/2020,Sheffield United,Man City,5,16,1,8,2,5,14,6,0,0,0,0,9.5,6.0,1.28,0,1,A
31/10/2020,Burnley,Chelsea,5,14,0,9,3,4,10,15,1,0,0,0,6.0,4.5,1.5,0,3,A
31/10/2020,Liverpool,West Ham,9,4,5,3,1,2,13,14,0,1,0,0,1.36,5.25,7.5,2,1,H
01/11/2020,Aston Villa,Southampton,19,9,10,4,11,1,12,17,1,2,0,0,2.45,3.5,2.8,3,4,A
01/11/2020,Newcastle,Everton,11,15,4,4,5,4,9,10,2,4,0,0,3.7,3.4,2.05,2,1,H
01/11/2020,Man United,Arsenal,8,7,2,2,6,3,12,12,3,3,0,0,2.0,3.6,3.6,0,1,A
01/11/2020,Tottenham,Brighton,9,6,3,2,4,5,14,13,2,1,0,0,1.61,4.0,5.5,2,1,H
02/11/2020,Fulham,West Brom,13,10,6,1,5,2,13,11,3,2,0,0,2.4,3.3,3.0,2,0,H
02/11/2020,Leeds,Leicester,11,10,4,8,10,3,9,5,1,1,0,0,2.5,3.6,2.62,1,4,A
