Date,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,FTHG,FTAG,FTR
19/08/06,Arsenal,Aston Villa,19,5,11,3,18,1,10,19,1,2,0,0,1.28,4.5,13.0,1,1,D
19/08/06,Bolton,Tottenham,8,9,6,6,6,3,19,22,0,1,0,0,2.62,3.2,2.6,2,0,H
19/08/06,Everton,Watford,6,12,2,8,0,6,12,13,2,2,0,0,1.66,3.4,5.5,2,1,H
19/08/06,Newcastle,Wigan,9,14,8,9,4,11,17,20,1,2,0,0,1.72,3.5,4.75,2,1,H
19/08/06,Portsmouth,Blackburn,21,9,16,7,6,2,20,17,2,1,0,2,2.3,3.1,3.1,3,0,H
19/08/06,Reading,Middlesbrough,14,7,9,5,8,2,8,15,1,3,0,0,2.5,3.1,2.8,3,2,H
19/08/06,Sheffield United,Liverpool,5,12,3,7,0,12,10,16,1,2,0,0,6.0,3.8,1.53,1,1,D
19/08/06,West Ham,Charlton,16,4,5,2,6,0,14,14,2,2,0,1,2.0,3.2,3.75,3,1,H
20/08/06,Chelsea,Man City,10,5,4,2,5,2,7,15,1,3,0,1,1.22,5.5,13.0,3,0,H
20/08/06,Man United,Fulham,15,12,7,8,5,2,14,20,1,1,0,0,1.22,5.5,13.0,5,1,H
22/08/06,Tottenham,Sheffield United,18,6,13,3,6,4,5,9,0,1,0,0,1.5,3.75,7.0,2,0,H
22/08/06,Watford,West Ham,11,8,4,4,5,1,12,12,0,0,0,0,2.87,3.2,2.4,1,1,D
23/08/06,Aston Villa,Reading,11,5,6,3,2,7,9,6,2,1,0,1,1.9,3.25,4.0,2,1,H
23/08/06,Blackburn,Everton,10,10,5,4,5,3,22,20,4,3,0,0,2.3,3.1,3.1,1,1,D
23/08/06,Charlton,Man United,8,21,2,11,4,11,14,11,1,1,0,0,7.5,3.6,1.5,0,3,A
23/08/06,Fulham,Bolton,11,4,4,1,1,6,9,16,0,2,0,0,2.4,3.2,2.87,1,1,D
23/08/06,Man City,Portsmouth,6,3,3,1,8,0,15,13,2,1,0,0,2.2,3.1,3.1,0,0,D
23/08/06,Middlesbrough,Chelsea,9,8,2,5,3,3,15,7,2,2,0,0,8.5,3.75,1.44,2,1,H
26/08/06,Charlton,Bolton,9,7,5,2,6,5,11,17,1,4,1,1,2.5,3.1,2.8,2,0,H
26/08/06,Fulham,Sheffield United,10,9,5,1,9,5,17,17,3,3,0,0,1.9,3.25,4.0,1,0,H
26/08/06,Liverpool,West Ham,19,8,8,3,6,1,15,6,1,0,0,0,1.44,4.0,7.5,2,1,H
26/08/06,Man City,Arsenal,10,17,3,6,2,8,16,8,1,1,0,0,5.5,3.6,1.61,1,0,H
26/08/06,Tottenham,Everton,15,6,6,2,7,2,9,12,1,1,0,1,1.72,3.4,5.0,0,2,A
26/08/06,Watford,Man United,8,19,7,10,4,7,20,14,1,1,0,0,7.5,4.33,1.4,1,2,A
